path_area,git_tree_or_blob_sha,role,aurora_consumers,priority,classification
src/mcp,8310d9c7cd2568d1f66ab3bbd4ec7b2a592f486a,"MCP surfaces, human control and runtime resolution",W09/W16,P0,PLATFORM_INTERFACE_REFERENCE
src/measurement,b767b1a67052334a618f1b104375f9d2c9848e87,"Analytics, attribution, capacity",W10/W17/W18,P1,PLATFORM_AND_VERTICAL_REFERENCE
src/omnichannel,8b6e9100b040e83402c706c3d3b5427a464d3ae1,Omnichannel messaging,W10/W11,P1,VERTICAL_REFERENCE
src/operations,8b33f96f69aabc80c157a8ea9aaef72edf0a89c7,Operational domain code,W17/W20,P2,OPS_REFERENCE
src/ops,adaf2de66ef9e652457cd3cfe173f0e50066e418,Runtime operational checks,W17/W20,P1,OPS_REFERENCE
src/orchestrator,222bc4e1d2a125a82721e3ee9a658b3394d4f2ee,Planning/orchestration/model adapter,W05/W14,P1,BEHAVIOR_REFERENCE_NOT_AUTHORITY
src/paid-media,4112f298005621703edba369a01dda745d570dfc,Paid-media decisions,W12/W13,P1,VERTICAL_REFERENCE
src/persistence,33bf9562667eb46eadf9fa25e1deaeb0764df0bc,Postgres stores/read models,W03/W10-W13/W17,P0,PERSISTENCE_PATTERN_CANDIDATE
src/policy,af5f021cd0d326ae9323f7b18e51add6a9cb69bb,Engagement-specific policy,W11,P2,VERTICAL_POLICY_REFERENCE_ONLY
src/privacy,66b688e823279cdc2277ca1596cdda54f228b847,Privacy/LGPD-style governance,W02/W19,P0,PLATFORM_GOVERNANCE_REFERENCE
src/providers,aa56bb5de945adb82bb7821ca9e3ab69b0f713bf,Provider adapters: Meta/Instagram/Google/GCP/local,W08/W11-W13,P0,PROVIDER_PATTERN_CANDIDATE
src/runtime,e6d62a276a4849f63c717ad13c1243bf4cca0122,Runtime composition,W07/W09/W17,P1,PLATFORM_RUNTIME_REFERENCE
src/scheduler,5002318088e1818296123353ccf029e0388e3144,Durable scheduler/reconciler/watchdog,W03/W11,P0,PLATFORM_PATTERN_CANDIDATE
src/tenancy,daaf6d29cf71859304c3ca4b3766e78ab21617c7,Tenant boundary/config/credentials/RBAC,W02/W19,P0,PLATFORM_GOVERNANCE_REFERENCE
src/tools,b7787176e2963eab29401cb6679ebcab2589068b,Tool implementations/registrations,W04/W07/W08,P1,CAPABILITY_REFERENCE
src/worker,0cc8b35079e267534ef29e10b6a121b1eb46e666,Worker/DLQ processing,W03/W17,P1,PLATFORM_PATTERN_CANDIDATE
src/workflow,274e4f0d2a95f3343e38f0ece390b46026419e14,Workflow contracts/store,W03/W09,P1,PLATFORM_PATTERN_CANDIDATE
