path,primary_class,lifecycle,flags
"services/agent-runtime/legacy-manus-reference/manus/agent/agent_schedule_task.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/agent/agent_update_plan.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/__init__.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_click.py","LEGACY_REFERENCE","ACTIVE","PLACEHOLDER_VERIFIED"
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_console_exec.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_console_view.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_input.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_move_mouse.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_navigate.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_press_key.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_save_image.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_scroll_down.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_scroll_up.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_select_option.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/browser/browser_view.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/config/SECURITY_NOTICE.txt","LEGACY_REFERENCE","ACTIVE","DUPLICATE"
"services/agent-runtime/legacy-manus-reference/manus/config/__init__.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/data/__init__.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/data/user_profiles.json","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/docs/README_VERTEX_AI.md","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/docs/documento_estrutura_arquivos_manus.md","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/docs/relatorio_final_sucesso.py","LEGACY_REFERENCE","ACTIVE","HISTORICAL_REPORT"
"services/agent-runtime/legacy-manus-reference/manus/file/__init__.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/file/file_append_text.py","LEGACY_REFERENCE","ACTIVE",""
"services/agent-runtime/legacy-manus-reference/manus/file/file_read.py","LEGACY_REFERENCE","ACTIVE","PLACEHOLDER_TEXT_VERIFIED"
"services/agent-runtime/legacy-manus-reference/manus/file/file_replace_text.py","LEGACY_REFERENCE","ACTIVE",""
"services/aurora-gateway/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/control-core/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/executors/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/mobile-gateway/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/n8n-bridge/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/push-notifications/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"services/realtime-sync/STATUS.md","SCAFFOLD_ACTIVE","ACTIVE",""
"tools/migration/import-v03-baseline.sh","DEPRECATED","DEPRECATED","ONE_TIME_BASELINE_IMPORT_COMPLETE"
